2023-06-29 19:28:08,031 INFO    MainThread:6728 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-29 19:28:08,032 INFO    MainThread:6728 [wandb_setup.py:_flush():76] Configure stats pid to 6728
2023-06-29 19:28:08,032 INFO    MainThread:6728 [wandb_setup.py:_flush():76] Loading settings from /home/anto/.config/wandb/settings
2023-06-29 19:28:08,032 INFO    MainThread:6728 [wandb_setup.py:_flush():76] Loading settings from /home/anto/SAESum-Simultaneous_Abstractive_and_Extractive_Summarization/wandb/settings
2023-06-29 19:28:08,032 WARNING MainThread:6728 [wandb_setup.py:_flush():76] Unknown environment variable: WANDB_SERVICE
2023-06-29 19:28:08,032 INFO    MainThread:6728 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-29 19:28:08,032 INFO    MainThread:6728 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-29 19:28:08,032 INFO    MainThread:6728 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/MemSum/src/MemSum_Full/train.py', 'program': '/home/anto/SAESum-Simultaneous_Abstractive_and_Extractive_Summarization/src/MemSum/src/MemSum_Full/train.py'}
2023-06-29 19:28:08,033 INFO    MainThread:6728 [wandb_init.py:_log_setup():507] Logging user logs to /home/anto/SAESum-Simultaneous_Abstractive_and_Extractive_Summarization/wandb/run-20230629_192808-f1t2ixzv/logs/debug.log
2023-06-29 19:28:08,033 INFO    MainThread:6728 [wandb_init.py:_log_setup():508] Logging internal logs to /home/anto/SAESum-Simultaneous_Abstractive_and_Extractive_Summarization/wandb/run-20230629_192808-f1t2ixzv/logs/debug-internal.log
2023-06-29 19:28:08,034 INFO    MainThread:6728 [wandb_init.py:init():547] calling init triggers
2023-06-29 19:28:08,034 INFO    MainThread:6728 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'epochs': 10}
2023-06-29 19:28:08,034 INFO    MainThread:6728 [wandb_init.py:init():596] starting backend
2023-06-29 19:28:08,034 INFO    MainThread:6728 [wandb_init.py:init():600] setting up manager
2023-06-29 19:28:08,040 INFO    MainThread:6728 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-29 19:28:08,045 INFO    MainThread:6728 [wandb_init.py:init():606] backend started and connected
2023-06-29 19:28:08,049 INFO    MainThread:6728 [wandb_init.py:init():703] updated telemetry
2023-06-29 19:28:08,084 INFO    MainThread:6728 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-29 19:28:08,617 INFO    MainThread:6728 [wandb_run.py:_on_init():2176] communicating current version
2023-06-29 19:28:08,714 INFO    MainThread:6728 [wandb_run.py:_on_init():2185] got version response 
2023-06-29 19:28:08,714 INFO    MainThread:6728 [wandb_init.py:init():787] starting run threads in backend
2023-06-29 19:28:15,851 INFO    MainThread:6728 [wandb_run.py:_console_start():2155] atexit reg
2023-06-29 19:28:15,851 INFO    MainThread:6728 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-29 19:28:15,851 INFO    MainThread:6728 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-29 19:28:15,851 INFO    MainThread:6728 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-29 19:28:15,852 INFO    MainThread:6728 [wandb_init.py:init():828] run started, returning control to user process
